Strategy,Sharpe,Sortino,alpha,beta
"lgb_returns, hold len=1",0.7692079697217943,1.0514223400799954,-0.009748164947318116,1.0318384244873404
"lgb_long_returns, hold len=1",0.7951996927248487,1.0976278659609597,-0.002692479431925854,1.0591201798903103
"lgb_one_day, hold len=1",0.8674059905694473,1.2002770360179693,0.01648299980114798,1.0306700634780577
bnh,0.817186574082803,1.1363601772797556,-,-
